幽谷神谭春立农家院,,13241505797,
水长城西水湾欢乐度假村,,15101024044,
马大姐家庭旅馆,,15110131316,
挂甲峪老付农家院,,13691398335,
十渡多福居农家院,,13718857100,
北京柳沟豆丰斋农家院,,15910381767,15911111411
门头沟西山红客栈,,01061826065,
青龙峡乐乐农家院,,13240733616,
挂甲峪梦思缘农家院,,15011098846,
十渡福来缘别墅,,13911081850,
白河湾王亚楠农家大院,,13716476016,
挂甲峪真情农家院,,13716202838,
吉祥同福酒店,,01060751598,
幸福家园旅店,,13691023558,
福堰鑫明清四合院,,13716198687,
北京北漂之家旅社,,13521875733,
百泉山丽君农家院,,01061622009,13161466138
弘善公寓,,13693692091,
百迪快捷宾馆,,01051329909,
青龙峡三好农家院,,13621244664,
桃源仙谷张老师民俗客栈,,18601370145,
小翟温馨宾馆,,13521007222,
富顿兴邦公寓,,15712855112,
小茶人学生求职公寓,,15311659633,
恒兴民升宾馆,,01069089222,
将军关快乐又一家农家院,,01060986056,15910284000
京东大峡谷万客来农家院,,18600679469,
桂家湾宾馆,,01060543593,
克拉玛依雪莲宾馆,,01083297111,
青龙峡老朋友农家院,,13260307185,
天祥乐都宾馆,,18710077631,
自家公寓（北京富顿中心店）,,01058469367,13146402382
黑龙潭响水居农家院,,13269788990,
樟楠公寓,,18600931811,13241577927
京友缘宾馆,,01060522322,
白龙潭齐德立民俗农家院,,18500745269,
石林峡客缘农家院,,13716599600,
白河湾春霞农家院,,01061622163,
轩昂时代宾馆,,01069338888,
轩旅之家求职公寓,,18046561735,13381469126
今日之星大学生公寓,,15010191051,
张广生农家院,,13651302191,
北漂e族公寓,,13522845124,
春天家庭旅馆,,18611816680,
桃源仙谷田园豆腐农家院,,18001120527,15801324852
候鸟度假农家院（北京二部）,,18910707309,
温曦公寓,,18911540720,
琥珀求职公寓（九龙花园店）,,13718394468,
望怀华庭酒店,,01069628689,
金元元宾馆,,01067015478,
平谷大溶洞英来民俗餐厅,,15001303069,
喜气洋洋公寓,,15010191051,
第一家农家院,,01061817866,13241336024
金海湖南华山庄酒店,,13716766152,
张家台铁生农家院,,01061999329,13164256358
桃源仙谷胜利农家院,,13521907359,
嘉禾园短租公寓,,18801132969,
青龙峡福乐居农家院,,13641053612,13241631624
玻璃台槛外人家农家院（玻璃台村店）,,13426269277,
裕龙花园大酒店,,01081491223,69445678
北京启航学生求职公寓,,18910844242,
天天乐酒店式公寓,,13621081335,
玻璃台88号农家院,,01060978158,13716097316
桃源仙谷清真农家院,,18310061775,
桃源仙谷克如农家院,,13716958068,13011866114
青龙峡明山仙村农家院,,01089696789,
爨底下柏峪下村头农家院,,13716456890,
云蒙人家农家院,,13716617362,
张家台国荣农家院,,13716221843,
桃源仙谷如意发农家院,,13366252093,
青龙峡财华农家院,,13436936833,13641268209
龙庆峡客来缘农家院,,15801325351,
青龙峡思雨农家院,,13683032739,
玻璃台云湖农家院,,13522309584,
峨眉山福怡兴民俗餐厅,,13691127921,
青龙峡客来源农家院,,13716895513,
玻璃台30号农家院,,15910479662,
石林峡兴旺缘农家院,,13552142200,
响水湖久清乐园,,13691256867,
青春理想求职公寓,,13381469126,13011863770
百兴盛旅馆,,01058346138,
龙庆峡水润农家院,,13161431948,15910200853
飞马家园,,01056195575,
北京千盛山水农家院,,13381212331,
玻璃台55号建新农家院,,13522120893,
金海湖宝勤农家院,,01069991986,15801485779
海康宾馆,,01063735008,
柳沟大力客栈,,01061191898,
北京昌平镇北京金隅凤山培训中心,,01060711180,60713300
白河湾17号院农家院,,18911911158,18612949088
白桦林郑福全农家院,,13716545898,
东香庭酒店,,01081479199,81479299
密云黑龙潭桃源仙谷依依农家院,,13716232244,
密云水库溪水英鑫农家院,,15010390014,
青龙峡乔家大院,,13716385849,
石林峡山水农家,,15910463899,
紫云山王立春农家院,,13716832169,
青龙峡淼淼农家院,,13520884900,
佳好求职北漂公寓（二店）,,13552911977,
佳好求职北漂男生公寓（一店）,,13552911977,
灵水人家鸿鑫农家客栈,,15901216304,
勤华农家院,,13466537707,
红螺寺君好再来农家院,,13311393648,
北京司马台桂香民俗饭庄,,13521367721,
石林峡乡亲农舍,,13520021756,
赛家宾馆,,01089759206,
桃源仙谷福鑫家园农家院,,13521542794,
青龙峡景秀家园农家院,,13716875942,
鸿尊精品酒店公寓（建国门店）,,15101025010,
北京海洋公寓,,01065674522,15101025010
鸿尊精品酒店公寓（崇文门店）,,15101025010,
良家短租服务式公寓（建国门店）,,15010508681,
红螺寺祁林飞农家院,,01060170591,15810321300
陌上青年旅舍（北京西站店）,,15147354202,18210706552
乡土情农家院,,18201277730,
张家台翠湖农家院,,13683240502,
盛和居酒店,,01084823778,13121159367
桃源仙谷会芝农家院,,15011413559,
金青如旅店,,01069640885,
桃源仙谷实在农家院,,15910689077,
北京司马台群怡欢民俗饭庄,,13241696674,13811567858
十渡鱼水香农家院饭庄,,13436839903,
桃源仙谷向荣农家院,,15911145785,
桃源仙谷富平农家院,,01061025134,13811999277
青龙峡海量农家院,,15910435813,
好再来民俗饭庄,,13426382725,
密云水库党家圣源山庄,,18210121080,
玻璃台艳萍农家院,,13611226820,
晴冬园家庭旅馆,,15010532665,
京东大峡谷老韩渔家农家院,,13716811003,
民顺园88宾馆,,01089355025,
幸福之家公寓,,13611244961,13466664463
星淇主题宾馆（万宁桥店）,,01089336268,
青龙峡秀明情缘农家院,,13716761157,
天赐公寓（漪龙台店）,,13011112584,
青龙峡添添休闲农家院,,13691123916,
青龙峡亮凯农家院,,13911376438,
聚源宾馆,,01089377526,
迎日生辉旅馆,,01069652760,
青龙峡方志杰农家院,,13511072064,
桃源仙谷立新农家院,,15650718702,
张家台李永贵农家院,,13716365061,
灵水村会友客栈,,15910267729,
密云水库佳漪农家院,,13521798464,
青龙峡腾龍农家院,,13810299898,
太后山外山民俗农家院,,13121500517,
雁西湖暄暄农家院,,13716368918,
峨眉山遥香农家院,,13716833576,
北京司马台清水河湾闲居农家院,,13520807033,
怀山峻岭民俗饭庄,,13716676310,
桃源仙谷福泉居农家院,,13436951716,
将军关金鑫农家院,,13718857975,
红螺寺老马家农家院,,13910260308,
雁栖湖一家人农家院,,13716583520,
慕田峪长城春凤农家院,,15901070180,
白河湾田源鸡度假村,,13699278667,
紫光园快捷酒店,,01081598288,
桃源仙谷秀莉农家院,,15810140968,
都是客旅馆,,13716014138,
忆都宾馆,,01080819320,15300036261
桃源仙谷金达莱农家院,,13260007273,
聚四方旅店,,13716129193,
玻璃台纵情山水26号休闲驿站,,13931622803,
天云山春雨人家度假山庄,,13436801561,
柳沟门牌68农家院,,13716019745,
百泉山旺泽源农家院,,13716034278,
鑫聚宾馆,,01063893969,
白河湾彭桂英农家院,,13716193469,
捧河湾畅畅农家院,,13716967574,13520414962
紫金招待所（南礼士路三条店）,,01068058193,
福家圆宾馆,,01089711692,18301605321
老兵山庄,,13911178669,
举人客栈,,13911585845,
融达快捷公寓,,13301275911,13520251152
北京星淇100主题宾馆,,01089331003,
百合商务宾馆,,01060630307,
白桦林邹加伶农家院,,13436986840,
7天连锁酒店（褡裢坡地铁站店）,,01085717277,
百里画廊幸福驿站农庄,,13522311711,
玻璃台春昇小院,,15321559896,
桃源仙谷艳清农家院,,13810836090,
建国门服务型公寓,,13810529831,
佰特阳光快捷宾馆,,01081596799,
桃源仙谷山水情缘农家院,,15911132693,15910254253
灵山第一家宾馆,,01061827982,18510501560
桃源仙谷乡村新居民俗客栈,,13716353780,
桃源仙谷小青农家院,,13681279722,
龙庆峡山杏民俗饭庄,,13601057358,
桃源仙谷日月兴农家院,,13716398901,13716932863
丫头片子青年女子公寓,,18500129280,
白河湾秀美农家院,,15910364147,
龙庆峡老汤农家院,,13910737670,
美房美居宾馆,,01089323826,
一米阳光宾馆,,01052337171,13126903011
柳沟建发园农家院,,13716586926,
十渡鲡妃主题小院,,13611377395,13701062249
金泰合宾馆,,01084281685,
日月明旅馆,,01084027658,
假日鸿福宾馆,,01083738655,
小白楼宾馆,,18210985620,
晋桃源酒店公寓,,01060305505,
张家台浩全农家院,,15011087907,
隆乐诚宾馆,,01063922360,
石林峡山居小镇,,01087361106,13520546676
古庙旅馆,,01068217310,
瑞鑫宾馆,,01065271588,
张家台范立朝农家院,,13436969029,
家和百利客栈,,01067738369,
金海湖聚缘农家院,,18611767191,
桂福宾馆,,01060591069,
宇川大酒店,,01060751395,
北京司马台凤香春农家院,,13691122253,
佳伟快捷酒店（天通苑店）,,01081783218,
桃源仙谷生起度假山庄,,13681193794,
桃源仙谷星月农家院,,01061013055,13716752875
石林峡山里红农家院,,13521679713,13716599660
桃源仙谷聚朋友山庄,,13671225037,
桃源仙谷小庆农家院,,13436800226,
京东大溶洞永新农家院,,18518309256,
中意宾馆,,01069575281,
青龙峡绿野农庄,,01060680449,18701224354
青龙峡凤来农家院,,15001350118,13811418107
百花深处农家院,,18513016727,
桃源仙谷同心家园民俗客栈,,13716633779,13716803389
北许场宾馆,,01061564378,
力利通旅馆,,01062630103,
桃源仙谷桃源新居农家院,,01061025506,13716774349
桃源仙谷仙客来农家院,,13366221225,
玻璃台天赐农家院,,13520320878,
吉祥公寓,,13811000870,
云蒙山佳佳农家院,,01061610010,
爱家伟叶酒店式公寓,,15901456347,
青龙峡十八号院农家院,,18611460306,15611067797
拜登世邸度假别院（北京古北口店）,,01053950101,
柳沟峄静轩农家院,,18810842641,
桃源仙谷缘溪农家院,,13671214568,
水长城树梅农家院,,13436937231,
红螺寺玲珑小院,,13716103861,
青龙峡画家之家农家院,,13716442579,
白河湾王金秀农家院,,13716900938,
苹果社区酒店服务公寓（北京国贸店）,,13611145938,15201472499
玉渡山苗双月农家院,,13439796851,
张家台崔明春农家院（崔明春农家院）,,13716377299,
柳沟京翠苑农家院,,13911507321,
龙庆峡郝永宽农家院,,13501194761,
白河湾田园农家院,,15120002660,
张家台刘福全农家院,,13716732831,
红螺寺丰富源农家院,,13716679876,
美华世纪欣欣公寓,,13911324120,
星美酒店,,01061677775,
玖加壹宾馆,,01060790460,
信南潞宾馆,,01061628802,
北京幸福怡家宾馆,,01089099829,
妫川华奕酒店,,01061125515,
简爱主题酒店,,01069536799,
龙庆峡段迎杰农家乐,,13520499725,13717547571
欣雅国际公寓,,17600847668,
嘉乐园宾馆,,01067582260,
华秀缘宾馆,,01067118936,
捧河湾冉冉农家院,,18701224858,
十渡奇峡假日酒店,,13552702668,18811073846
青龙峡老梁菜馆农家院,,13466670861,
乐嘉园宾馆,,01087588830,
刘姐公寓,,13370131201,
金和缘宾馆,,01083881399,
天赐快捷酒店,,01089996655,13070155720
喜乐山山庄,,01060813526,
鑫福海宾馆,,01067755626,
白河湾白河北11号院,,13716819070,
爨底下龙头客栈,,13520713480,
京东大溶洞永红永旺农家院,,13641239694,
北京张家台张术良农家院,,18910115510,
琪阁宾馆,,01089382819,
满盈客快捷宾馆,,01061997607,
柳沟隆华缘农家院,,18210390567,
中景园宾馆,,01060569007,
蓝海之家酒店,,01089383938,
柳沟东门逸园农家院,,13701017401,
大溶洞万达隆民俗农家乐,,18310398160,
凯旋宾馆（九棵树西路店）,,01080817379,
拓新宾馆,,01067059919,67060958
北方长城宾馆,,01080190398,
雨燕楼商务会馆,,01069962002,
黄松峪逍遥居农家院,,13911820780,
云蒙山海燕农家院,,13621075742,
嘉利家家庭公寓,,18811443988,
清凉谷黑龙潭旭日家园农家院,,13716305393,
一草一木青年旅舍,,18610757408,13520018637
时代快捷酒店,,01080570522,
金海湖安乐窝,,01069992198,
十渡圣轩农家院,,13716209249,
金恒宾馆,,01081555029,
和美山居农家院,,13161473203,
雪峰农家院,,13681263372,
金海湖宝恒丰谷农家院,,01069992571,15801571567
小可农家院,,18810689413,
青龙峡金子农家院,,18618297380,
青龙峡毕家大院农家院,,13716385849,
柳沟秋英农家院,,13810574470,
慕田峪龙淼大锅台（客房部）,,15001303678,
柳沟村23号农家院,,15801682909,
百里画廊李三农家院,,13691349908,
水长城何氏山庄,,15910298670,
尚驿快捷酒店,,01052791166,
智慧短租公寓,,13381199836,
桃源仙谷天源客栈,,13260007273,
北京城市青年客栈（双井店）,,13146402382,
